Industry Name,Industry Sector,SIC Code
"Dry, condensed, evaporated  products",Manufacturing,2023
Ice cream and frozen desserts,Manufacturing,2024
Fluid milk,Manufacturing,2026
Preserved fruits and vegetables,Manufacturing,203
Canned specialties,Manufacturing,2032
Canned fruits and vegetables,Manufacturing,2033
"Dehydrated fruits, vegetables, soups",Manufacturing,2034
"Pickles, sauces, and salad dressings",Manufacturing,2035
Frozen fruits and vegetables,Manufacturing,2037
"Frozen specialties, nec",Manufacturing,2038
Grain mill products,Manufacturing,204
Flour and other grain mill products,Manufacturing,2041
Cereal breakfast foods,Manufacturing,2043
Rice milling,Manufacturing,2044
Prepared flour mixes and doughs,Manufacturing,2045
Wet corn milling,Manufacturing,2046
Dog and cat food,Manufacturing,2047
"Prepared feeds, nec",Manufacturing,2048
Bakery products,Manufacturing,205
"Bread, cake, and related products",Manufacturing,2051
Cookies and crackers,Manufacturing,2052
"Frozen bakery products, except bread",Manufacturing,2053
Sugar and confectionery products,Manufacturing,206
Raw cane sugar,Manufacturing,2061
Cane sugar refining,Manufacturing,2062
Beet sugar,Manufacturing,2063
Candy & other confectionery products,Manufacturing,2064
Chocolate and cocoa products,Manufacturing,2066
Chewing gum,Manufacturing,2067
Salted and roasted nuts and seeds,Manufacturing,2068
Fats and Oils,Manufacturing,207
Cottonseed oil mills,Manufacturing,2074
Soybean oil mills,Manufacturing,2075
"Vegetable oil mills, nec",Manufacturing,2076
Animal and marine fats and oils,Manufacturing,2077
"Edible fats and oils, nec",Manufacturing,2079
Beverages,Manufacturing,208
Malt beverages,Manufacturing,2082
Malt,Manufacturing,2083
"Wines, brandy, and brandy spirits",Manufacturing,2084
Distilled and blended liquors,Manufacturing,2085
Bottled and canned soft drinks,Manufacturing,2086
"Flavoring extracts and syrups, nec",Manufacturing,2087
Misc. food and kindred products,Manufacturing,209
Canned and cured fish and seafoods,Manufacturing,2091
Fresh or frozen prepared fish,Manufacturing,2092
Roasted coffee,Manufacturing,2095
Potato chips and similar snacks,Manufacturing,2096
Manufactured ice,Manufacturing,2097
Macaroni and spaghetti,Manufacturing,2098
"Food preparations, nec",Manufacturing,2099
Tobacco products,Manufacturing,21
Cigarettes,Manufacturing,211
Cigars,Manufacturing,212
Chewing and smoking tobacco,Manufacturing,213
Tobacco stemming and redrying,Manufacturing,214
Textile mill products,Manufacturing,22
"Broadwoven fabric mills, cotton",Manufacturing,221
"Broadwoven fabric mills, manmade",Manufacturing,222
"Broadwoven fabric mills, wool",Manufacturing,223
Narrow fabric mills,Manufacturing,224
"Narrow fabric and other smallwares mills: cotton, wool, silk, and Manmade fiber",Manufacturing,2241
Knitting mills,Manufacturing,225
"Women's hosiery, except socks",Manufacturing,2251
"Hosiery, nec",Manufacturing,2252
Knit outerwear mills,Manufacturing,2253
Knit underwear mills,Manufacturing,2254
Weft knit fabric mills,Manufacturing,2257
Lace & warp knit fabric mills,Manufacturing,2258
"Knitting mills, nec",Manufacturing,2259
"Textile finishing, except wool",Manufacturing,226
"Finishing plants, cotton",Manufacturing,2261
"Finishing plants, manmade",Manufacturing,2262
"Finishing plants, nec",Manufacturing,2269
Carpets and rugs,Manufacturing,227
Yarn and thread mills,Manufacturing,228
Yarn spinning mills,Manufacturing,2281
Throwing and winding mills,Manufacturing,2282
Thread mills,Manufacturing,2284
Miscellaneous textile goods,Manufacturing,229
"Coated fabrics, not rubberized",Manufacturing,2295
Tire cord and fabrics,Manufacturing,2296
Nonwoven fabrics,Manufacturing,2297
Cordage and twine,Manufacturing,2298
"Textile goods, nec",Manufacturing,2299
Apparel and other textile products,Manufacturing,23
Men's and boys' suits and coats,Manufacturing,231
"Men's and boys' suits, coats and overcoats",Manufacturing,2311
Men's and boys' furnishings,Manufacturing,232
Men's and boys' shirts,Manufacturing,2321
Men's & boys' underwear + nightwear,Manufacturing,2322
Men's and boys' neckwear,Manufacturing,2323
Men's and boys' trousers and slacks,Manufacturing,2325
Men's and boys' work clothing,Manufacturing,2326
"Men's and boys' clothing, nec",Manufacturing,2329
Women's and misses' outerwear,Manufacturing,233
Women's & misses' blouses & shirts,Manufacturing,2331
"Women's, junior's, & misses' dresses",Manufacturing,2335
Women's and misses' suits and coats,Manufacturing,2337
"Women's and misses' outerwear, nec",Manufacturing,2339
Women's and children's undergarments,Manufacturing,234
Women's and children's underwear,Manufacturing,2341
"Bras, girdles, and allied garments",Manufacturing,2342
"Hats, caps, and millinery",Manufacturing,235
Girls' and children's outerwear,Manufacturing,236
"Girls' & children's dresses, blouses",Manufacturing,2361
"Girls' and children's outerwear, nec",Manufacturing,2369
Fur goods,Manufacturing,237
Miscellaneous apparel and accessories,Manufacturing,238
Fabric dress and work gloves,Manufacturing,2381
Robes and dressing gowns,Manufacturing,2384
Waterproof outerwear,Manufacturing,2385
Leather and sheep-lined clothing,Manufacturing,2386
Apparel belts,Manufacturing,2387
"Apparel and accessories, nec",Manufacturing,2389
Misc. fabricated textile products,Manufacturing,239
Curtains and draperies,Manufacturing,2391
"Housefurnishings, nec",Manufacturing,2392
Textile bags,Manufacturing,2393
Canvas and related products,Manufacturing,2394
Pleating and stitching,Manufacturing,2395
Automotive and apparel trimmings,Manufacturing,2396
Schiffli machine embroideries,Manufacturing,2397
"Fabricated textile products, nec",Manufacturing,2399
Lumber and wood products,Manufacturing,24
Logging,Manufacturing,241
Sawmills and planing mills,Manufacturing,242
"Sawmills and planing mills, general",Manufacturing,2421
Hardwood dimension & flooring mills,Manufacturing,2426
"Special product sawmills, nec",Manufacturing,2429
"Millwork, plywood & structural members",Manufacturing,243
Millwork,Manufacturing,2431
Wood kitchen cabinets,Manufacturing,2434
Hardwood veneer and plywood,Manufacturing,2435
Softwood veneer and plywood,Manufacturing,2436
"Structural wood members, nec",Manufacturing,2439
Wood Containers,Manufacturing,244
Nailed wood boxes and shook,Manufacturing,2441
Wood pallets and skids,Manufacturing,2448
"Wood containers, nec",Manufacturing,2449
Wood buildings and mobile homes,Manufacturing,245
Mobile homes,Manufacturing,2451
Prefabricated wood buildings,Manufacturing,2452
Miscellaneous wood products,Manufacturing,249
Wood preserving,Manufacturing,2491
Reconstituted wood products,Manufacturing,2493
"Wood products, nec",Manufacturing,2499
Furniture and fixtures,Manufacturing,25
Household furniture,Manufacturing,251
Wood household furniture,Manufacturing,2511
Upholstered household furniture,Manufacturing,2512
Metal household furniture,Manufacturing,2514
Mattresses and bedsprings,Manufacturing,2515
Wood TV and radio cabinets,Manufacturing,2517
"Household furniture, nec",Manufacturing,2519
Office furniture,Manufacturing,252
Wood office furniture,Manufacturing,2521
"Office furniture, except wood",Manufacturing,2522
Public building & related furniture,Manufacturing,253
Public building and related furniture,Manufacturing,2531
Partitions and fixtures,Manufacturing,254
Wood partitions and fixtures,Manufacturing,2541
"Partitions and fixtures, except wood",Manufacturing,2542
Miscellaneous furniture and fixtures,Manufacturing,259
Drapery hardware & blinds & shades,Manufacturing,2591
"Furniture and fixtures, nec",Manufacturing,2599
Paper and allied products,Manufacturing,26
Pulp mills,Manufacturing,261
Paper mills,Manufacturing,262
Paperboard mills,Manufacturing,263
Paperboard containers and boxes,Manufacturing,265
Setup paperboard boxes,Manufacturing,2652
Corrugated and solid fiber boxes,Manufacturing,2653
"Fiber cans, drums & similar products",Manufacturing,2655
Sanitary food containers,Manufacturing,2656
Folding paperboard boxes,Manufacturing,2657
Misc. converted paper products,Manufacturing,267
"Paper coated & laminated, packaging",Manufacturing,2671
"Paper coated and laminated, nec",Manufacturing,2672
"Bags: plastics, laminated, & coated",Manufacturing,2673
Bags: uncoated paper & multiwall,Manufacturing,2674
Die-cut paper and board,Manufacturing,2675
Sanitary paper products,Manufacturing,2676
Envelopes,Manufacturing,2677
Stationery products,Manufacturing,2678
"Converted paper products, nec",Manufacturing,2679
Printing and publishing,Manufacturing,27
Newspapers,Manufacturing,271
"Newspapers: publishing, or publishing and printing",Manufacturing,2711
Periodicals,Manufacturing,272
Periodicals: publishing and printing,Manufacturing,2721
Books,Manufacturing,273
Book publishing,Manufacturing,2731
Book printing,Manufacturing,2732
Miscellaneous publishing,Manufacturing,274
Miscellaneous prblishing,Manufacturing,2741
Commercial Printing,Manufacturing,275
"Commercial printing, lithographic",Manufacturing,2752
"Commercial printing, gravure",Manufacturing,2754
"Commercial printing, nec",Manufacturing,2759
Manifold business forms,Manufacturing,276
Greeting cards,Manufacturing,277
Blankbooks and bookbinding,Manufacturing,278
Blankbooks and looseleaf binders,Manufacturing,2782
Bookbinding and related work,Manufacturing,2789
Printing trade services,Manufacturing,279
Typesetting,Manufacturing,2791
Platemaking services,Manufacturing,2796
Chemicals and allied products,Manufacturing,28
Industrial inorganic chemicals,Manufacturing,281
Alkalies and chlorine,Manufacturing,2812
Industrial gases,Manufacturing,2813
Inorganic pigments,Manufacturing,2816
"Industrial inorganic chemicals, nec",Manufacturing,2819
Plastics materials and synthetics,Manufacturing,282
Plastics materials and resins,Manufacturing,2821
Synthetic rubber,Manufacturing,2822
Cellulosic manmade fibers,Manufacturing,2823
"Organic fibers, noncellulosic",Manufacturing,2824
Drugs,Manufacturing,283
Medicinals and botanicals,Manufacturing,2833
Pharmaceutical preparations,Manufacturing,2834
Diagnostic substances,Manufacturing,2835
Biological products exc. diagnostic,Manufacturing,2836
"Soap, cleaners, and toilet goods",Manufacturing,284
Soap and other detergents,Manufacturing,2841
