Industry Name,Industry Sector,SIC Code
Transportation equipment,Manufacturing,37
Motor vehicles and equipment,Manufacturing,371
Motor vehicles and car bodies,Manufacturing,3711
Truck and bus bodies,Manufacturing,3713
Motor vehicle parts and accessories,Manufacturing,3714
Truck trailers,Manufacturing,3715
Motor homes,Manufacturing,3716
Aircraft and parts,Manufacturing,372
Aircraft,Manufacturing,3721
Aircraft engines and engine parts,Manufacturing,3724
"Aircraft parts and equipment, nec",Manufacturing,3728
Ship and boat building and repairing,Manufacturing,373
Ship building and repairing,Manufacturing,3731
Boat building and repairing,Manufacturing,3732
Railroad equipment,Manufacturing,374
"Motorcycles, bicycles, and parts",Manufacturing,375
"Guided missiles, space vehicles, parts",Manufacturing,376
Guided missiles and space vehicles,Manufacturing,3761
Space propulsion units and parts,Manufacturing,3764
"Space vehicle equipment, nec",Manufacturing,3769
Miscellaneous transportation equipment,Manufacturing,379
Travel trailers and campers,Manufacturing,3792
Tanks and tank components,Manufacturing,3795
"Transportation equipment, nec",Manufacturing,3799
Instruments and related products,Manufacturing,38
Search and navigation equipment,Manufacturing,381
Measuring and controlling devices,Manufacturing,382
Laboratory apparatus and furniture,Manufacturing,3821
Environmental controls,Manufacturing,3822
Process control instruments,Manufacturing,3823
Fluid meters and counting devices,Manufacturing,3824
Instruments to measure electricity,Manufacturing,3825
Analytical instruments,Manufacturing,3826
Optical instruments and lenses,Manufacturing,3827
"Measuring & controlling devices, nec",Manufacturing,3829
Medical instruments and supplies,Manufacturing,384
Surgical and medical instruments,Manufacturing,3841
Surgical appliances and supplies,Manufacturing,3842
Dental equipment and supplies,Manufacturing,3843
X-ray apparatus and tubes,Manufacturing,3844
Electromedical equipment,Manufacturing,3845
Ophthalmic goods,Manufacturing,385
Photographic equipment and supplies,Manufacturing,386
"Watches, clocks, watchcases & parts",Manufacturing,387
"Watches, clocks, watchcases and parts",Manufacturing,3873
Miscellaneous manufacturing industries,Manufacturing,39
"Jewelry, silverware, and plated ware",Manufacturing,391
"Jewelry, precious metal",Manufacturing,3911
Silverware and plated ware,Manufacturing,3914
Jewelers' materials & lapidary work,Manufacturing,3915
Musical instruments,Manufacturing,393
Toys and sporting goods,Manufacturing,394
Dolls and stuffed toys,Manufacturing,3942
"Games, toys, and children's vehicles",Manufacturing,3944
"Sporting and athletic goods, nec",Manufacturing,3949
"Pens, pencils, office, & art supplies",Manufacturing,395
Pens and mechanical pencils,Manufacturing,3951
Lead pencils and art goods,Manufacturing,3952
Marking devices,Manufacturing,3953
Carbon paper and inked ribbons,Manufacturing,3955
Costume jewelry and notions,Manufacturing,396
Costume jewelry,Manufacturing,3961
"Fasteners, buttons, needles, & pins",Manufacturing,3965
Miscellaneous manufactures,Manufacturing,399
Brooms and brushes,Manufacturing,3991
Signs and advertising specialities,Manufacturing,3993
Burial caskets,Manufacturing,3995
"Hard surface floor coverings, nec",Manufacturing,3996
"Manufacturing industries, nec",Manufacturing,3999
Railroad transportation,Transportation and Public Utilities,40
Railroads,Transportation and Public Utilities,401
"Railroads, Line-haul operating",Transportation and Public Utilities,4011
Railroad switching and terminal establishments,Transportation and Public Utilities,4013
Local and interurban passenger transit,Transportation and Public Utilities,41
Local and suburban transportation,Transportation and Public Utilities,411
Local and suburban transit,Transportation and Public Utilities,4111
"Local passenger transportation, nec",Transportation and Public Utilities,4119
Taxicabs,Transportation and Public Utilities,412
Intercity and rural bus transportation,Transportation and Public Utilities,413
Bus charter service,Transportation and Public Utilities,414
Local bus charter service,Transportation and Public Utilities,4141
"Bus charter service, except local",Transportation and Public Utilities,4142
School buses,Transportation and Public Utilities,415
Bus terminal and service facilities,Transportation and Public Utilities,417
Trucking and warehousing,Transportation and Public Utilities,42
"Trucking & courier services, ex. air",Transportation and Public Utilities,421
"Trucking & courier services, ex. air unallocated",Transportation and Public Utilities,4210
Local Trucking without Storage,Transportation and Public Utilities,4212
"Trucking, except local",Transportation and Public Utilities,4213
Local Trucking with Storage,Transportation and Public Utilities,4214
"Courier Services, except Air",Transportation and Public Utilities,4215
Public warehousing and storage,Transportation and Public Utilities,422
Farm product warehousing and storage,Transportation and Public Utilities,4221
Refrigerated warehousing and storage,Transportation and Public Utilities,4222
General warehousing and storage,Transportation and Public Utilities,4225
"Special warehousing and storage, nec",Transportation and Public Utilities,4226
Trucking terminal facilities,Transportation and Public Utilities,423
Water transportation,Transportation and Public Utilities,44
Deep sea foreign trans. of freight,Transportation and Public Utilities,441
Deep sea foreign transportation of freight,Transportation and Public Utilities,4412
Deep sea domestic trans. of freight,Transportation and Public Utilities,442
Deep sea domestic transportaion of freight,Transportation and Public Utilities,4424
Freight trans. on the Great Lakes,Transportation and Public Utilities,443
Freight trans. on the Great Lakes-St. Lawrence Seaway,Transportation and Public Utilities,4432
"Water transportation of freight, nec",Transportation and Public Utilities,444
"Water transportaion of freight, not elsewhere classified",Transportation and Public Utilities,4449
Water transportation of passengers,Transportation and Public Utilities,448
"Deep sea passenger trans., ex. ferry",Transportation and Public Utilities,4481
Ferries,Transportation and Public Utilities,4482
"Water passenger transportation, nec",Transportation and Public Utilities,4489
Water transportation services,Transportation and Public Utilities,449
Marine cargo handling,Transportation and Public Utilities,4491
Towing and tugboat service,Transportation and Public Utilities,4492
Marinas,Transportation and Public Utilities,4493
"Water transportation services, nec",Transportation and Public Utilities,4499
Transportation by air,Transportation and Public Utilities,45
"Air transportation, scheduled",Transportation and Public Utilities,451
Air courier services,Transportation and Public Utilities,4513
"Air transportation, nonscheduled",Transportation and Public Utilities,452
"Airports, flying fields, & services",Transportation and Public Utilities,458
"Airports, flying fields, and airport terminal services",Transportation and Public Utilities,4581
"Pipelines, except natural gas",Transportation and Public Utilities,46
Crude petroleum pipelines,Transportation and Public Utilities,4612
Refined petroleum pipelines,Transportation and Public Utilities,4613
"Pipelines, nec",Transportation and Public Utilities,4619
Transportation services,Transportation and Public Utilities,47
Passenger transportation arrangement,Transportation and Public Utilities,472
Travel agencies,Transportation and Public Utilities,4724
Tour operators,Transportation and Public Utilities,4725
"Passenger transport arrangement, nec",Transportation and Public Utilities,4729
Freight transportation arrangement,Transportation and Public Utilities,473
Rental of railroad cars,Transportation and Public Utilities,474
Miscellaneous transportation services,Transportation and Public Utilities,478
Packing and crating,Transportation and Public Utilities,4783
Fixed facilities and inspection and weighing services for motor vehical transportaion,Transportation and Public Utilities,4785
"Transportaion services, nec",Transportation and Public Utilities,4789
Communication,Transportation and Public Utilities,48
Telephone communication,Transportation and Public Utilities,481
Radiotelephone communications,Transportation and Public Utilities,4812
"Telephone communications, exc. radio",Transportation and Public Utilities,4813
Telegraph & other communications,Transportation and Public Utilities,482
Telegraph and other message communications,Transportation and Public Utilities,4822
Radio and television broadcasting,Transportation and Public Utilities,483
Radio broadcasting stations,Transportation and Public Utilities,4832
Television broadcasting stations,Transportation and Public Utilities,4833
Cable and other pay TV services,Transportation and Public Utilities,484
Cable and oheer pay television services,Transportation and Public Utilities,4841
"Communication services, nec",Transportation and Public Utilities,489
"Communications services, nec",Transportation and Public Utilities,4899
"Electric, gas, and sanitary services",Transportation and Public Utilities,49
Electric services,Transportation and Public Utilities,491
Gas production and distribution,Transportation and Public Utilities,492
Natural gas transmission,Transportation and Public Utilities,4922
Natural gas transmission and distribution,Transportation and Public Utilities,4923
Natural gas distribution,Transportation and Public Utilities,4924
Petroleum gas production and distribution,Transportation and Public Utilities,4925
Combination utility services,Transportation and Public Utilities,493
Electric and other services combined,Transportation and Public Utilities,4931
Gas and other services combined,Transportation and Public Utilities,4932
"Combination utilities, nec",Transportation and Public Utilities,4939
Water supply,Transportation and Public Utilities,494
Sanitary services,Transportation and Public Utilities,495
Sewerage systems,Transportation and Public Utilities,4952
Refuse systems,Transportation and Public Utilities,4953
"Sanitary services, nec",Transportation and Public Utilities,4959
Steam and air-conditioning supply,Transportation and Public Utilities,496
Steam and Air conditioning supply,Transportation and Public Utilities,4961
Irrigation systems,Transportation and Public Utilities,497
"Motor vehicles, parts, and supplies",Wholesale Trade,501
Automobiles and other motor vehicles,Wholesale Trade,5012
Motor vehicle supplies and new parts,Wholesale Trade,5013
Tires and tubes,Wholesale Trade,5014
"Motor vehicle parts, used",Wholesale Trade,5015
Furniture and homefurnishings,Wholesale Trade,502
Furniture,Wholesale Trade,5021
Homefurnishings,Wholesale Trade,5023
Lumber and construction materials,Wholesale Trade,503
"Lumber, plywood, and millwork",Wholesale Trade,5031
"Brick, stone, & related materials",Wholesale Trade,5032
"Roofing, siding, & insulation",Wholesale Trade,5033
"Construction materials, nec",Wholesale Trade,5039
Professional & commercial equipment,Wholesale Trade,504
Photographic equipment and supplies,Wholesale Trade,5043
Office equipment,Wholesale Trade,5044
"Computers, peripherals & software",Wholesale Trade,5045
"Commercial equipment, nec",Wholesale Trade,5046
Medical and hospital equipment,Wholesale Trade,5047
Ophthalmic goods,Wholesale Trade,5048
"Professional equipment, nec",Wholesale Trade,5049
"Metals and minerals, except petroleum",Wholesale Trade,505
Metals service centers and offices,Wholesale Trade,5051
Coal and other minerals and ores,Wholesale Trade,5052
Electrical goods,Wholesale Trade,506
Electrical apparatus and equipment,Wholesale Trade,5063
"Electrical appliances, TV & radios",Wholesale Trade,5064
Electronic parts and equipment,Wholesale Trade,5065
"Hardware, plumbing & heating equipment",Wholesale Trade,507
Hardware,Wholesale Trade,5072
Plumbing & hydronic heating supplies,Wholesale Trade,5074
Warm air heating & air-conditioning,Wholesale Trade,5075
Refrigeration equipment and supplies,Wholesale Trade,5078
"Machinery, equipment, and supplies",Wholesale Trade,508
Construction and mining machinery,Wholesale Trade,5082
Farm and garden machinery,Wholesale Trade,5083
Industrial machinery and equipment,Wholesale Trade,5084
Industrial supplies,Wholesale Trade,5085
Service establishment equipment,Wholesale Trade,5087
Transportation equipment & supplies,Wholesale Trade,5088
Miscellaneous durable goods,Wholesale Trade,509
Sporting & recreational goods,Wholesale Trade,5091
Toys and hobby goods and supplies,Wholesale Trade,5092
Scrap and waste materials,Wholesale Trade,5093
Jewelry & precious stones,Wholesale Trade,5094
"Durable goods, nec",Wholesale Trade,5099
Wholesale trade - nondurable goods,Wholesale Trade,51
Paper and paper products,Wholesale Trade,511
Printing and writing paper,Wholesale Trade,5111
Stationery and office supplies,Wholesale Trade,5112
Industrial & personal service paper,Wholesale Trade,5113
"Drugs, proprietaries, and sundries",Wholesale Trade,512
"Drugs, proprietaries, ans sundries",Wholesale Trade,5122
"Apparel, piece goods, and notions",Wholesale Trade,513
Piece goods & notions,Wholesale Trade,5131
Men's and boys' clothing,Wholesale Trade,5136
Women's and children's clothing,Wholesale Trade,5137
Footwear,Wholesale Trade,5139
Groceries and related products,Wholesale Trade,514
"Groceries, general line",Wholesale Trade,5141
Packaged frozen foods,Wholesale Trade,5142
"Dairy products, exc. dried or canned",Wholesale Trade,5143
Poultry and poultry products,Wholesale Trade,5144
Confectionery,Wholesale Trade,5145
Fish and seafoods,Wholesale Trade,5146
Meats and meat products,Wholesale Trade,5147
Fresh fruits and vegetables,Wholesale Trade,5148
"Groceries and related products, nec",Wholesale Trade,5149
Farm-product raw materials,Wholesale Trade,515
Grain and field beans,Wholesale Trade,5153
Livestock,Wholesale Trade,5154
"Farm-product raw materials, nec",Wholesale Trade,5159
Chemicals and allied products,Wholesale Trade,516
Plastics materials & basic shapes,Wholesale Trade,5162
"Chemicals & allied products, nec",Wholesale Trade,5169
Petroleum and petroleum products,Wholesale Trade,517
Petroleum bulk stations & terminals,Wholesale Trade,5171
"Petroleum products, nec",Wholesale Trade,5172
"Beer, wine, and distilled beverages",Wholesale Trade,518
Beer and ale,Wholesale Trade,5181
Wine and distilled beverages,Wholesale Trade,5182
Misc. nondurable goods,Wholesale Trade,519
Farm supplies,Wholesale Trade,5191
"Books, periodicals, & newspapers",Wholesale Trade,5192
Flowers & florists' supplies,Wholesale Trade,5193
Tobacco and tobacco products,Wholesale Trade,5194
"Paints, varnishes, and supplies",Wholesale Trade,5198
"Nondurable goods, nec",Wholesale Trade,5199
Building materials & garden supplies,Retail Trade,52
Lumber and other building materials,Retail Trade,521
"Paint, glass, and wallpaper stores",Retail Trade,523
Hardware stores,Retail Trade,525
Retail nurseries and garden stores,Retail Trade,526
Mobile home dealers,Retail Trade,527
Mobile bome dealers,Retail Trade,5271
General merchandise stores,Retail Trade,53
Department stores,Retail Trade,531
Variety stores,Retail Trade,533
Misc. general merchandise stores,Retail Trade,539
Food stores,Retail Trade,54
Grocery stores,Retail Trade,541
Meat and fish markets,Retail Trade,542
Fruit and vegetable markets,Retail Trade,543
"Candy, nut, and confectionery stores",Retail Trade,544
Dairy products stores,Retail Trade,545
Dariy products stores,Retail Trade,5451
Retail bakeries,Retail Trade,546
Miscellaneous food stores,Retail Trade,549
Automotive dealers & service stations,Retail Trade,55
New and used car dealers,Retail Trade,551
Used car dealers,Retail Trade,552
Auto and home supply stores,Retail Trade,553
Gasoline service stations,Retail Trade,554
Boat dealers,Retail Trade,555
Recreational vehicle dealers,Retail Trade,556
Motorcycle dealers,Retail Trade,557
"Automotive dealers, nec",Retail Trade,559
Apparel and accessory stores,Retail Trade,56
Men's & boys' clothing stores,Retail Trade,561
Men's and boys' clothing stores,Retail Trade,5611
Women's clothing stores,Retail Trade,562
Women's accessory & specialty stores,Retail Trade,563
Women's accessory and specialty stores,Retail Trade,5632
Children's and infants' wear stores,Retail Trade,564
Family clothing stores,Retail Trade,565
Shoe stores,Retail Trade,566
Misc. apparel & accessory stores,Retail Trade,569
Misc. apparel and accessory stores,Retail Trade,5699
Furniture and homefurnishings stores,Retail Trade,57
Furniture stores,Retail Trade,5712
Floor covering stores,Retail Trade,5713
Drapery and upholstery stores,Retail Trade,5714
Misc. homefurnishings stores,Retail Trade,5719
Household appliance stores,Retail Trade,572
"Radio, television, & computer stores",Retail Trade,573
"Radio, TV, & electronic stores",Retail Trade,5731
Computer and software stores,Retail Trade,5734
Record & prerecorded tape stores,Retail Trade,5735
Musical instrument stores,Retail Trade,5736
Eating and drinking places,Retail Trade,58
Eating and drinking places unallocated,Retail Trade,5810
Eating places,Retail Trade,5812
Drinking places,Retail Trade,5813
Miscellaneous retail,Retail Trade,59
Drug stores and proprietary stores,Retail Trade,591
Liquor stores,Retail Trade,592
Used merchandise stores,Retail Trade,593
Miscellaneous shopping goods stores,Retail Trade,594
Sporting goods and bicycle shops,Retail Trade,5941
Book stores,Retail Trade,5942
Stationery stores,Retail Trade,5943
Jewelry stores,Retail Trade,5944
"Hobby, toy, and game shops",Retail Trade,5945
Camera & photographic supply stores,Retail Trade,5946
"Gift, novelty, and souvenir shops",Retail Trade,5947
Luggage and leather goods stores,Retail Trade,5948
"Sewing, needlework, and piece goods",Retail Trade,5949
Nonstore retailers,Retail Trade,596
Catalog and mail-order houses,Retail Trade,5961
Merchandising machine operators,Retail Trade,5962
Direct selling establishments,Retail Trade,5963
Fuel dealers,Retail Trade,598
Fuel oil dealers,Retail Trade,5983
Liquefied petroleum gas dealers,Retail Trade,5984
"Fuel dealers, nec",Retail Trade,5989
"Retail stores, nec",Retail Trade,599
Florists,Retail Trade,5992
Tobacco stores and stands,Retail Trade,5993
News dealers and newsstands,Retail Trade,5994
Optical goods stores,Retail Trade,5995
"Miscellaneous retail stores, nec",Retail Trade,5999
Depository institutions,"Finance, Insurance, and Real Estate",60
Central reserve depository,"Finance, Insurance, and Real Estate",601
Federal reserve banks,"Finance, Insurance, and Real Estate",6011
"Central reserve depository institutions, nec","Finance, Insurance, and Real Estate",6019
Commercial banks,"Finance, Insurance, and Real Estate",602
National commercial banks,"Finance, Insurance, and Real Estate",6021
State commericial banks,"Finance, Insurance, and Real Estate",6022
"Commerical banks, nec","Finance, Insurance, and Real Estate",6029
Savings institutions,"Finance, Insurance, and Real Estate",603
"Savings institutions, Federally chartered","Finance, Insurance, and Real Estate",6035
"Savings institutions, not Federally chartered","Finance, Insurance, and Real Estate",6036
Credit unions,"Finance, Insurance, and Real Estate",606
"Credit unions, Federally chartered","Finance, Insurance, and Real Estate",6061
"Credit unions, not Federally chartered","Finance, Insurance, and Real Estate",6062
Foreign bank & branches + agencies,"Finance, Insurance, and Real Estate",608
Branched and agencies of foreign banks,"Finance, Insurance, and Real Estate",6081
Foreign trade and international banking institutions,"Finance, Insurance, and Real Estate",6082
Functions closely related to banking,"Finance, Insurance, and Real Estate",609
Nondeposit trust facilitites,"Finance, Insurance, and Real Estate",6091
"Functions related to depository banking, nec","Finance, Insurance, and Real Estate",6099
Nondepository institutions,"Finance, Insurance, and Real Estate",61
Federal & Fed.-sponsored credit,"Finance, Insurance, and Real Estate",611
Federal and Fed.-sponsored credit,"Finance, Insurance, and Real Estate",6111
Personal credit institutions,"Finance, Insurance, and Real Estate",614
Business credit institutions,"Finance, Insurance, and Real Estate",615
"Short-term business credit institution, except agricultural","Finance, Insurance, and Real Estate",6153
Misc. business credit institutions,"Finance, Insurance, and Real Estate",6159
Mortgage bankers and brokers,"Finance, Insurance, and Real Estate",616
Mortgage bankers and loan correspondents,"Finance, Insurance, and Real Estate",6162
Loan Brokers,"Finance, Insurance, and Real Estate",6163
Security and commodity brokers,"Finance, Insurance, and Real Estate",62
Security brokers and dealers,"Finance, Insurance, and Real Estate",621
"Security brokers, dealers, and Flotation companies","Finance, Insurance, and Real Estate",6211
"Commodity contracts brokers, dealers","Finance, Insurance, and Real Estate",622
Commodity contracts brokers and dealers,"Finance, Insurance, and Real Estate",6221
Security and commodity exchanges,"Finance, Insurance, and Real Estate",623
Security and commodity services,"Finance, Insurance, and Real Estate",628
Investment advice,"Finance, Insurance, and Real Estate",6282
"Services allied with the exchange of secrurities or commoditites,nec","Finance, Insurance, and Real Estate",6289
Insurance carriers,"Finance, Insurance, and Real Estate",63
Life insurance,"Finance, Insurance, and Real Estate",631
Medical service and health insurance,"Finance, Insurance, and Real Estate",632
Accident and health insurance,"Finance, Insurance, and Real Estate",6321
Hospital and medical service plans,"Finance, Insurance, and Real Estate",6324
"Fire, marine, and casualty insurance","Finance, Insurance, and Real Estate",633
Surety insurance,"Finance, Insurance, and Real Estate",635
Title insurance,"Finance, Insurance, and Real Estate",636
"Pension, health, and welfare funds","Finance, Insurance, and Real Estate",637
"Insurance carriers, nec","Finance, Insurance, and Real Estate",639
"Insurance agents, brokers, & service","Finance, Insurance, and Real Estate",64
"Insurance agents, brokers, and service","Finance, Insurance, and Real Estate",641
Real estate,"Finance, Insurance, and Real Estate",65
Real estate operators and lessors,"Finance, Insurance, and Real Estate",651
Real estate operators and lessors unallocated,"Finance, Insurance, and Real Estate",6510
Operators of nonresidential buildings,"Finance, Insurance, and Real Estate",6512
Operators of apartment buildings,"Finance, Insurance, and Real Estate",6513
Operators of dwellings other than apartment buildings,"Finance, Insurance, and Real Estate",6514
Operators of residential mobile home sites,"Finance, Insurance, and Real Estate",6515
Lessors of railroad property,"Finance, Insurance, and Real Estate",6517
"Lessors of real property, nec","Finance, Insurance, and Real Estate",6519
Real estate agents and managers,"Finance, Insurance, and Real Estate",653
Title abstract offices,"Finance, Insurance, and Real Estate",654
Subdividers and developers,"Finance, Insurance, and Real Estate",655
"Subdividers and developers, nec","Finance, Insurance, and Real Estate",6552
Cemetery subdividers and developers,"Finance, Insurance, and Real Estate",6553
Holding and other investment offices,"Finance, Insurance, and Real Estate",67
Holding offices,"Finance, Insurance, and Real Estate",671
Offices of bank holding companies,"Finance, Insurance, and Real Estate",6712
"Offices of holding companies,nec","Finance, Insurance, and Real Estate",6719
Investment offices,"Finance, Insurance, and Real Estate",672
"Management investment office, open-end","Finance, Insurance, and Real Estate",6722
"Unit investment trusts, face-amt certificate offices, and closed-end mgmt investment offices","Finance, Insurance, and Real Estate",6726
Trusts,"Finance, Insurance, and Real Estate",673
"Educational, religious, etc. trusts","Finance, Insurance, and Real Estate",6732
"Trusts, nec","Finance, Insurance, and Real Estate",6733
Miscellaneous investing,"Finance, Insurance, and Real Estate",679
Oil royalty traders,"Finance, Insurance, and Real Estate",6792
Patent owners and lessors,"Finance, Insurance, and Real Estate",6794
Real estate investment trusts,"Finance, Insurance, and Real Estate",6798
"Investors, nec","Finance, Insurance, and Real Estate",6799
Hotels and other lodging places,Services,70
Hotels and motels,Services,701
Hotels and motesl,Services,7011
Rooming and boarding houses,Services,702
Camps and recreational vehicle parks,Services,703
Sporting and recreational camps,Services,7032
Trailer parks and campsites,Services,7033
Membership-basis organization hotels,Services,704
"Organization hotels and lodging houses, on membership basis",Services,7041
Personal services,Services,72
"Laundry, cleaning, & garment services",Services,721
"Laundry, cleaning, & garment services unallocated",Services,7210
"Power laundries, family & commercial",Services,7211
Garment pressing & cleaners' agents,Services,7212
Linen supply,Services,7213
Coin-operated laundries and cleaning,Services,7215
"Drycleaning plants, except rug",Services,7216
Carpet and upholstery cleaning,Services,7217
Industrial launderers,Services,7218
"Laundry and garment services, nec",Services,7219
"Photographic studios, portrait",Services,722
Beauty shops,Services,723
Barber shops,Services,724
Shoe repair and shoeshine parlors,Services,725
Funeral service and crematories,Services,726
Miscellaneous personal services,Services,729
Tax return preparation services,Services,7291
"Miscellaneous personal services, nec",Services,7299
Business services,Services,73
Advertising,Services,731
Advertising agencies,Services,7311
Outdoor advertising services,Services,7312
"Radio, TV, publisher representatives",Services,7313
"Advertising, nec",Services,7319
Credit reporting and collection,Services,732
Adjustment & collection services,Services,7322
Credit reporting services,Services,7323
"Mailing, reproduction, stenographic",Services,733
Direct mail advertising services,Services,7331
Photocopying & duplicating services,Services,7334
Commercial photography,Services,7335
Commercial art and graphic design,Services,7336
Secretarial & court reporting,Services,7338
Services to buildings,Services,734
Disinfecting & pest control services,Services,7342
"Building maintenance services, nec",Services,7349
Misc. equipment rental & leasing,Services,735
Medical equipment rental,Services,7352
Heavy construction equipment rental,Services,7353
"Equipment rental & leasing, nec",Services,7359
Personnel supply services,Services,736
Employment agencies,Services,7361
Help supply services,Services,7363
Computer and data processing services,Services,737
Computer programming services,Services,7371
Prepackaged software,Services,7372
Computer integrated systems design,Services,7373
Data processing and preparation,Services,7374
Information retrieval services,Services,7375
Computer facilities management,Services,7376
Computer rental & leasing,Services,7377
Computer maintenance & repair,Services,7378
"Computer related services, nec",Services,7379
Miscellaneous business services,Services,738
Detective & armored car services,Services,7381
Security systems services,Services,7382
News syndicates,Services,7383
Photofinishing laboratories,Services,7384
"Business services, nec",Services,7389
"Auto repair, services, and parking",Services,75
"Automotive rentals, no drivers",Services,751
"Truck rental and leasing, no drivers",Services,7513
Passenger car rental,Services,7514
Passenger car leasing,Services,7515
Utility trailer rental,Services,7519
Automobile parking,Services,752
Automotive repair shops,Services,753
Top & body repair & paint shops,Services,7532
Auto exhaust system repair shops,Services,7533
Tire retreading and repair shops,Services,7534
Automotive glass replacement shops,Services,7536
Automotive transmission repair shops,Services,7537
General automotive repair shops,Services,7538
"Automotive repair shops, nec",Services,7539
"Automotive services, except repair",Services,754
Carwashes,Services,7542
"Automotive services, nec",Services,7549
Miscellaneous repair services,Services,76
Electrical repair shops,Services,762
Radio and television repair,Services,7622
Refrigeration service and repair,Services,7623
"Electrical repair shops, nec",Services,7629
"Watch, clock, and jewelry repair",Services,763
Reupholstery and furniture repair,Services,764
Miscellaneous repair shops,Services,769
Welding repair,Services,7692
Armature rewinding shops,Services,7694
"Repair services, nec",Services,7699
Motion pictures,Services,78
Motion picture production & services,Services,781
Motion picture & video production,Services,7812
Services allied to motion pictures,Services,7819
Motion picture distribution & services,Services,782
Motion picture and tape distribution,Services,7822
Motion picture distribution services,Services,7829
Motion picture theaters,Services,783
"Motion picture theaters, ex drive-in",Services,7832
Drive-in motion picture theaters,Services,7833
Video tape rental,Services,784
Amusement & recreation services,Services,79
"Dance studios, schools, and halls",Services,791
"Producers, orchestras, entertainers",Services,792
Theatrical producers and services,Services,7922
Entertainers & entertainment groups,Services,7929
Bowling centers,Services,793
Commercial sports,Services,794
"Sports clubs, managers, & promoters",Services,7941
"Racing, including track operation",Services,7948
"Misc. amusement, recreation services",Services,799
Physical fitness facilities,Services,7991
Public golf courses,Services,7992
Coin-operated amusement devices,Services,7993
Amusement parks,Services,7996
Membership sports & recreation clubs,Services,7997
"Amusement and recreation, nec",Services,7999
Health services,Services,80
Offices & clinics of medical doctors,Services,801
Offices and clinics of doctors of medicine,Services,8011
Offices and clinics of dentists,Services,802
Offices of osteopathic physicians,Services,803
Offices of other health practitioners,Services,804
Offices and clinics of chiropractors,Services,8041
Offices and clinics of optometrists,Services,8042
Offices and clinics of podiatrists,Services,8043
"Offices of health practitioners, nec",Services,8049
Nursing and personal care facilities,Services,805
Skilled Nursing care facilities,Services,8051
Intermediate care facilities,Services,8052
"Nursing and personal care facilities, nec",Services,8059
Hospitals,Services,806
General medical and surgical hospitals,Services,8062
Psychiatric hospitals,Services,8063
"Specialty hospitals, except psychiatric",Services,8069
Medical and dental laboratories,Services,807
Medical laboratories,Services,8071
Dental laboratories,Services,8072
Home health care services,Services,808
"Health and allied services, nec",Services,809
Kidney dialysis centers,Services,8092
"Specialty outpatient facilities, nec",Services,8093
"Health and allied services, nec",Services,8099
Legal services,Services,81
Legal service,Services,811
Educational services,Services,82
Elementary and secondary schools,Services,821
Colleges and universities,Services,822
"Colleges, universities and professional schools",Services,8221
Junior colleges and technical institutes,Services,8222
Libraries,Services,823
Vocational schools,Services,824
Data Processing schools,Services,8243
Business and secretarial schools,Services,8244
"Vocational schools, nec",Services,8249
"Schools & educational services, nec",Services,829
"Schools and educational services, nec",Services,8299
Social services,Services,83
Individual and family services,Services,832
Individual and family social services,Services,8322
Job training and related services,Services,833
Job training and Vocational rehabilitation services,Services,8331
Child day care services,Services,835
Residential care,Services,836
"Social services, nec",Services,839
"Museums, botanical, zoological gardens",Services,84
Museums and art galleries,Services,841
Botanical and zoological gardens,Services,842
Arboreta and botanical or zoological gardens,Services,8422
Membership organizations,Services,86
Business associations,Services,861
Professional organizations,Services,862
Professional Membership organizations,Services,8621
Labor organizations,Services,863
Labor unions and similar labor organizations,Services,8631
Civic and social associations,Services,864
"Civic, social and fraternal associations",Services,8641
Political organizations,Services,865
Religious organizations,Services,866
"Membership organizations, nec",Services,869
Engineering & management services,Services,87
Engineering & architectural services,Services,871
Engineering services,Services,8711
Architectural services,Services,8712
Surveying services,Services,8713
"Accounting, auditing, & bookkeeping",Services,872
"Accounting, auditing, and bookkeeping services",Services,8721
Research and testing services,Services,873
Commercial physical research,Services,8731
Commercial nonphysical research,Services,8732
Noncommercial research organizations,Services,8733
Testing laboratories,Services,8734
Management and public relations,Services,874
Management services,Services,8741
Management consulting services,Services,8742
Public relations services,Services,8743
Facilities support services,Services,8744
"Business consulting, nec",Services,8748
"Services, nec",Services,88
Private households,Services,881
"Services, nec",Services,89
