"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,,,
01,75093,0132704,Alameda,Dublin Unified,Dublin High,250,28,11.2,    23.9,      21,     8.4,,,
01,75093,0138453,Alameda,Dublin Unified,Valley High (Cont.),38,0,0,    0,       0,     0.0,,,
01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,453,111,24.5,    24.5,      89,    19.6,,,
01,75101,0130252,Alameda,Pleasanton Unified,Village High,85,0,0,    0,       0,     0.0,,,
01,75101,0130583,Alameda,Pleasanton Unified,Amador Valley High,427,94,22,    24.4,      71,    16.6,,,
01,75119,0130641,Alameda,Sunol Glen Unified,Bay Area School for Independent Study,24,0,0,    0,       0,     0.0,,,
02,61333,0230029,Alpine,Alpine County Unified,Alpine County Unified 7-12 Community Day,1,0,0,    0,       0,     0.0,,,
02,61333,0230045,Alpine,Alpine County Unified,Bear Valley High,1,0,0,    0,       0,     0.0,,,
02,61333,0230052,Alpine,Alpine County Unified,Woodfords High,3,1,33.3,NA,NA,NA,,,
03,10033,0330068,Amador,Amador Co. Office of Education,Special Education,16,0,0,    0,       0,     0.0,,,
03,32276,0330027,Amador,Amador Co Cya District,Pine Grove Youth Conservation Camp,10,0,0,    0,       0,     0.0,,,
03,32276,0337352,Amador,Amador Co Cya District,Wieden (James A.) High,75,0,0,    0,       0,     0.0,,,
03,73981,0330019,Amador,Amador County Unified,Independence High (Cont.),11,0,0,    0,       0,     0.0,,,
03,73981,0330050,Amador,Amador County Unified,Amador Independent Study,30,0,0,    0,       0,     0.0,,,
03,73981,0330753,Amador,Amador County Unified,Amador High,193,63,32.6,    22.7,      44,    22.8,,,
03,73981,0334755,Amador,Amador County Unified,Argonaut High,110,11,10,    20.5,       5,     4.5,,,
04,10041,0430066,Butte,Butte Co. Office of Education,Juvenile Hall/Community,16,0,0,    0,       0,     0.0,,,
04,10041,0430090,Butte,Butte Co. Office of Education,Learning Community Charter,59,0,0,    0,       0,     0.0,,,
04,10041,0430165,Butte,Butte Co. Office of Education,School of Applied Resources,5,0,0,    0,       0,     0.0,,,
04,10041,0430173,Butte,Butte Co. Office of Education,Butte County Community,27,0,0,    0,       0,     0.0,,,
04,10041,0430181,Butte,Butte Co. Office of Education,South County Community Day,7,0,0,    0,       0,     0.0,,,
04,61408,0430207,Butte,Biggs Unified,Biggs Secondary Community Day,1,0,0,    0,       0,     0.0,,,
04,61408,0430827,Butte,Biggs Unified,Biggs High,69,5,7.2,NA,NA,NA,,,
04,61424,0430199,Butte,Chico Unified,Oakdale,61,0,0,    0,       0,     0.0,,,
04,61424,0431502,Butte,Chico Unified,Fair View High (Cont.),102,1,1,NA,NA,NA,,,
04,61424,0431676,Butte,Chico Unified,Chico High,446,23,5.2,    22.8,      14,     3.1,,,
04,61424,0437558,Butte,Chico Unified,Pleasant Valley High,509,75,14.7,    22.4,      48,     9.4,,,
04,61424,6113310,Butte,Chico Unified,Center for Alternative Learning,5,0,0,    0,       0,     0.0,,,
04,61432,0430124,Butte,Durham Unified,Mission High (Cont),5,0,0,    0,       0,     0.0,,,
04,61432,0433201,Butte,Durham Unified,Durham High,105,1,1,NA,NA,NA,,,
04,61515,0430116,Butte,Oroville Union High,Challenge Charter High,52,0,0,    0,       0,     0.0,,,
04,61515,0430140,Butte,Oroville Union High,Oroville High Community Day,1,0,0,    0,       0,     0.0,,,
04,61515,0434803,Butte,Oroville Union High,Las Plumas High,296,23,7.8,    20.8,      12,     4.1,,,
04,61515,0435602,Butte,Oroville Union High,Oroville High,242,11,4.5,    18.0,       3,     1.2,,,
04,61515,0437566,Butte,Oroville Union High,Prospect High (Cont.),62,0,0,    0,       0,     0.0,,,
04,61531,0430132,Butte,Paradise Unified,Paradise Charter Network (155),31,0,0,    0,       0,     0.0,,,
04,61531,0432856,Butte,Paradise Unified,Ridgeview High (Cont.),43,0,0,    0,       0,     0.0,,,
04,61531,0437350,Butte,Paradise Unified,Paradise Senior High,372,49,13.2,    21.7,      28,     7.5,,,
04,61531,6112585,Butte,Paradise Unified,Hometech Charter School,7,0,0,    0,       0,     0.0,,,
04,75507,0430157,Butte,Gridley Unified,Gridley Unified Community Day (7-12),1,0,0,    0,       0,     0.0,,,
04,75507,0433946,Butte,Gridley Unified,Esperanza High (Cont),20,0,0,    0,       0,     0.0,,,
04,75507,0433953,Butte,Gridley Unified,Gridley High,143,31,21.7,    19.7,      11,     7.7,,,
05,10058,0530048,Calaveras,Calaveras Co. Office of Education,Calaveras County Community,34,0,0,    0,       0,     0.0,,,
