"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,,,
19,64535,1930353,Los Angeles,El Segundo Unified,Arena High (Cont.),27,0,0,    0,       0,     0.0,,,
19,64535,1932763,Los Angeles,El Segundo Unified,El Segundo High,244,39,16,    21.5,      26,    10.7,,,
19,64568,1932144,Los Angeles,Glendale Unified,Crescenta Valley Senior High,569,42,7.4,    25.7,      35,     6.2,,,
19,64568,1933472,Los Angeles,Glendale Unified,Daily (Allan F.) High (Cont.),213,0,0,    0,       0,     0.0,,,
19,64568,1933530,Los Angeles,Glendale Unified,Glendale Senior High,868,94,10.8,    20.7,      46,     5.3,,,
19,64568,1934082,Los Angeles,Glendale Unified,Hoover (Herbert) Senior High,643,33,5.1,    20.2,      14,     2.2,,,
19,64568,1995497,Los Angeles,Glendale Unified,Glendale Alternative High,53,0,0,    0,       0,     0.0,,,
19,64568,1996131,Los Angeles,Glendale Unified,Clark (Anderson W.) Magnet High,236,50,21.2,    23.6,      37,    15.7,,,
19,64568,6099022,Los Angeles,Glendale Unified,College View Center,53,0,0,    0,       0,     0.0,,,
19,64576,1933597,Los Angeles,Glendora Unified,Glendora High,607,52,8.6,    24.5,      43,     7.1,,,
19,64576,1939677,Los Angeles,Glendora Unified,Whitcomb Continuation High,11,0,0,    0,       0,     0.0,,,
19,64584,1996305,Los Angeles,Gorman Elementary,Gorman Learning Center,68,0,0,    0,       0,     0.0,,,
19,64584,1996677,Los Angeles,Gorman Elementary,Lifeline Education Charter School,10,0,0,    0,       0,     0.0,,,
19,64634,1934231,Los Angeles,Inglewood Unified,Inglewood High,426,64,15,    15.3,       3,     0.7,,,
19,64634,1934249,Los Angeles,Inglewood Unified,Hillcrest High (Cont.),42,0,0,    0,       0,     0.0,,,
19,64634,1936046,Los Angeles,Inglewood Unified,Morningside High,275,82,29.8,    16.5,      17,     6.2,,,
19,64659,1934611,Los Angeles,La Canada Unified,La Canada High,341,62,18.2,    24.3,      46,    13.5,,,
19,64659,1995950,Los Angeles,La Canada Unified,Foothills (Special Education),6,0,0,    0,       0,     0.0,,,
19,64683,1930080,Los Angeles,Las Virgenes Unified,Agoura High,502,82,16.3,    24.4,      72,    14.3,,,
19,64683,1931260,Los Angeles,Las Virgenes Unified,Indian Hills Continuation High,51,0,0,    0,       0,     0.0,,,
19,64683,1931781,Los Angeles,Las Virgenes Unified,Calabasas High,426,119,27.9,    25.2,     105,    24.6,,,
19,64725,1930411,Los Angeles,Long Beach Unified,Avalon (K-12),50,0,0,    0,       0,     0.0,,,
19,64725,1934470,Los Angeles,Long Beach Unified,Jordan High,861,44,5.1,    17.3,       9,     1.0,,,
19,64725,1934678,Los Angeles,Long Beach Unified,Lakewood High,924,31,3.4,    19.3,      11,     1.2,,,
19,64725,1935758,Los Angeles,Long Beach Unified,Millikan Senior High,997,77,7.7,    21.0,      42,     4.2,,,
19,64725,1936947,Los Angeles,Long Beach Unified,Polytechnic High,1149,178,15.5,    21.3,      93,     8.1,,,
19,64725,1937176,Los Angeles,Long Beach Unified,Reid Senior High (Cont.),67,0,0,    0,       0,     0.0,,,
19,64725,1939875,Los Angeles,Long Beach Unified,Wilson High,919,90,9.8,    20.2,      43,     4.7,,,
19,64725,1995539,Los Angeles,Long Beach Unified,California Academy of Mathematics & Science,141,40,28.4,    24.2,      34,    24.1,,,
19,64725,1995570,Los Angeles,Long Beach Unified,Educational Partnership High (Ind. Study),478,0,0,    0,       0,     0.0,,,
19,64725,1995935,Los Angeles,Long Beach Unified,Cabrillo (Juan Rodriguez) High,425,8,1.9,NA,NA,NA,,,
19,64725,1996362,Los Angeles,Long Beach Unified,Pacific Learning Center Charter,66,0,0,    0,       0,     0.0,,,
19,64725,1996461,Los Angeles,Long Beach Unified,Promise Academy,70,0,0,    0,       0,     0.0,,,
19,64725,1996503,Los Angeles,Long Beach Unified,Renaissance Career Academy,73,0,0,    0,       0,     0.0,,,
19,64733,1930296,Los Angeles,Los Angeles Unified,Newmark (Harris) Continuation,7,0,0,    0,       0,     0.0,,,
19,64733,1930387,Los Angeles,Los Angeles Unified,Central Continuation,192,2,1,NA,NA,NA,,,
19,64733,1930403,Los Angeles,Los Angeles Unified,Young (Whitney) Continuation,2,0,0,    0,       0,     0.0,,,
19,64733,1930429,Los Angeles,Los Angeles Unified,View Park Continuation,2,0,0,    0,       0,     0.0,,,
19,64733,1930486,Los Angeles,Los Angeles Unified,Moneta Continuation,7,0,0,    0,       0,     0.0,,,
19,64733,1930551,Los Angeles,Los Angeles Unified,San Antonio Continuation,3,0,0,    0,       0,     0.0,,,
19,64733,1930577,Los Angeles,Los Angeles Unified,Pueblo de Los Angeles Continua,3,0,0,    0,       0,     0.0,,,
19,64733,1930619,Los Angeles,Los Angeles Unified,McAlister (Harold) High (Opportunity),30,0,0,    0,       0,     0.0,,,
19,64733,1930650,Los Angeles,Los Angeles Unified,Banning (Phineas) Senior High,421,69,16.4,    18.7,      21,     5.0,,,
19,64733,1930692,Los Angeles,Los Angeles Unified,Riley (Thomas) High (Alter.),11,0,0,    0,       0,     0.0,,,
19,64733,1930783,Los Angeles,Los Angeles Unified,Phoenix Continuation,4,0,0,    0,       0,     0.0,,,
19,64733,1930791,Los Angeles,Los Angeles Unified,Mt. Lukens Continuation,11,0,0,    0,       0,     0.0,,,
19,64733,1930866,Los Angeles,Los Angeles Unified,Bell Senior High,614,152,24.8,    17.0,      21,     3.4,,,
19,64733,1930924,Los Angeles,Los Angeles Unified,Belmont Senior High,596,71,11.9,    17.9,      16,     2.7,,,
19,64733,1930940,Los Angeles,Los Angeles Unified,Aliso High (Cont.),11,0,0,    0,       0,     0.0,,,
19,64733,1930973,Los Angeles,Los Angeles Unified,Rodia (Simon) Continuation,10,0,0,    0,       0,     0.0,,,
19,64733,1930999,Los Angeles,Los Angeles Unified,Indian Springs Continuation,5,0,0,    0,       0,     0.0,,,
19,64733,1931047,Los Angeles,Los Angeles Unified,Birmingham Senior High,507,30,5.9,    19.2,      13,     2.6,,,
19,64733,1931336,Los Angeles,Los Angeles Unified,Cheviot Hills Continuation,19,0,0,    0,       0,     0.0,,,
19,64733,1931351,Los Angeles,Los Angeles Unified,Del Rey Continuation,9,0,0,    0,       0,     0.0,,,
19,64733,1931377,Los Angeles,Los Angeles Unified,Earhart (Amelia) Continuation,2,0,0,    0,       0,     0.0,,,
19,64733,1931385,Los Angeles,Los Angeles Unified,Einstein (Albert) Continuation,10,0,0,    0,       0,     0.0,,,
19,64733,1931393,Los Angeles,Los Angeles Unified,Highland Park Continuation,1,0,0,    0,       0,     0.0,,,
19,64733,1931419,Los Angeles,Los Angeles Unified,Leonis (Miguel) Continuation,16,0,0,    0,       0,     0.0,,,
19,64733,1931435,Los Angeles,Los Angeles Unified,Lewis (Robert H.) Continuation,12,0,0,    0,       0,     0.0,,,
19,64733,1931450,Los Angeles,Los Angeles Unified,London (Jack) Continuation,18,0,0,    0,       0,     0.0,,,
19,64733,1931468,Los Angeles,Los Angeles Unified,Metropolitan Continuation,19,0,0,    0,       0,     0.0,,,
19,64733,1931476,Los Angeles,Los Angeles Unified,Canoga Park Senior High,232,9,3.9,NA,NA,NA,,,
19,64733,1931484,Los Angeles,Los Angeles Unified,Mission Continuation,11,0,0,    0,       0,     0.0,,,
19,64733,1931500,Los Angeles,Los Angeles Unified,Owensmouth Continuation,19,0,0,    0,       0,     0.0,,,
19,64733,1931518,Los Angeles,Los Angeles Unified,Patton (George S.) Continuatio,6,0,0,    0,       0,     0.0,,,
19,64733,1931526,Los Angeles,Los Angeles Unified,Carson Senior High,537,85,15.8,    17.7,      25,     4.7,,,
19,64733,1931534,Los Angeles,Los Angeles Unified,Rogers (Will) Continuation,7,0,0,    0,       0,     0.0,,,
19,64733,1931559,Los Angeles,Los Angeles Unified,Stoney Point Continuation,11,0,0,    0,       0,     0.0,,,
19,64733,1931575,Los Angeles,Los Angeles Unified,Truth (Sojourner) Continuation,11,0,0,    0,       0,     0.0,,,
19,64733,1931583,Los Angeles,Los Angeles Unified,Kirk Douglas Continuation,21,0,0,    0,       0,     0.0,,,
19,64733,1931682,Los Angeles,Los Angeles Unified,Grey (Zane) Continuation,14,0,0,    0,       0,     0.0,,,
19,64733,1931690,Los Angeles,Los Angeles Unified,Independence Continuation,21,0,0,    0,       0,     0.0,,,
19,64733,1931708,Los Angeles,Los Angeles Unified,Chatsworth Senior High,638,61,9.6,    22.5,      39,     6.1,,,
19,64733,1931716,Los Angeles,Los Angeles Unified,Valley Magnet,28,1,3.6,NA,NA,NA,,,
19,64733,1931856,Los Angeles,Los Angeles Unified,Whitman Continuation,6,0,0,    0,       0,     0.0,,,
19,64733,1931864,Los Angeles,Los Angeles Unified,Cleveland (Grover) High,493,55,11.2,    22.5,      40,     8.1,,,
19,64733,1931930,Los Angeles,Los Angeles Unified,Avalon Continuation,9,0,0,    0,       0,     0.0,,,
19,64733,1931955,Los Angeles,Los Angeles Unified,Ellington (Duke) High (Cont.),28,0,0,    0,       0,     0.0,,,
19,64733,1931971,Los Angeles,Los Angeles Unified,Hope (John) Continuation,5,0,0,    0,       0,     0.0,,,
19,64733,1931989,Los Angeles,Los Angeles Unified,Monterey Continuation,19,0,0,    0,       0,     0.0,,,
19,64733,1931997,Los Angeles,Los Angeles Unified,Odyssey Continuation,30,0,0,    0,       0,     0.0,,,
19,64733,1932029,Los Angeles,Los Angeles Unified,Cooper (James Fenimore) Opportunity High,12,0,0,    0,       0,     0.0,,,
19,64733,1932128,Los Angeles,Los Angeles Unified,Crenshaw Senior High,386,95,24.6,    16.1,      13,     3.4,,,
19,64733,1932169,Los Angeles,Los Angeles Unified,Temescal Canyon Continuation,22,0,0,    0,       0,     0.0,,,
19,64733,1932250,Los Angeles,Los Angeles Unified,Thoreau (Henry David) Continua,9,0,0,    0,       0,     0.0,,,
19,64733,1932318,Los Angeles,Los Angeles Unified,Eagle Tree Continuation,12,0,0,    0,       0,     0.0,,,
19,64733,1932334,Los Angeles,Los Angeles Unified,Addams (Jane) Continuation,22,0,0,    0,       0,     0.0,,,
19,64733,1932342,Los Angeles,Los Angeles Unified,Evergreen Continuation,13,0,0,    0,       0,     0.0,,,
19,64733,1932383,Los Angeles,Los Angeles Unified,Dorsey (Susan Miller) Senior H,301,51,16.9,    16.7,       5,     1.7,,,
19,64733,1932391,Los Angeles,Los Angeles Unified,West Hollywood Opportunity,4,0,0,    0,       0,     0.0,,,
19,64733,1932540,Los Angeles,Los Angeles Unified,Eagle Rock Junior-Senior High,383,30,7.8,    21.1,      17,     4.4,,,
19,64733,1932623,Los Angeles,Los Angeles Unified,El Camino Real Senior High,590,102,17.3,    22.4,      69,    11.7,,,
19,64733,1932821,Los Angeles,Los Angeles Unified,Boyle Heights Continuation,26,0,0,    0,       0,     0.0,,,
19,64733,1932847,Los Angeles,Los Angeles Unified,Los Angeles Center for Enriched Studies,189,72,38.1,    20.0,      34,    18.0,,,
19,64733,1932888,Los Angeles,Los Angeles Unified,Downtown Business High,181,15,8.3,    16.9,       1,     0.6,,,
19,64733,1932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,432,80,18.5,    17.9,      19,     4.4,,,
19,64733,1932987,Los Angeles,Los Angeles Unified,Francis (John H.) Polytechnic,485,74,15.3,    17.0,      15,     3.1,,,
19,64733,1933001,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,293,197,67.2,    17.8,      48,    16.4,,,
19,64733,1933043,Los Angeles,Los Angeles Unified,Franklin (Benjamin) Senior Hig,424,62,14.6,    19.1,      20,     4.7,,,
19,64733,1933118,Los Angeles,Los Angeles Unified,Fremont (John C.) Senior High,485,150,30.9,    15.0,       2,     0.4,,,
19,64733,1933233,Los Angeles,Los Angeles Unified,Sherman Oaks Ctr. for Enriched Studes,184,38,20.7,    22.3,      27,    14.7,,,
19,64733,1933241,Los Angeles,Los Angeles Unified,Gardena Senior High,504,45,8.9,    17.2,       8,     1.6,,,
19,64733,1933282,Los Angeles,Los Angeles Unified,Johnson (Dorothy V.) Opportunity High,3,0,0,    0,       0,     0.0,,,
19,64733,1933381,Los Angeles,Los Angeles Unified,Garfield (James A.) Senior High,509,155,30.5,    17.2,      24,     4.7,,,
19,64733,1933746,Los Angeles,Los Angeles Unified,Granada Hills Senior High,659,75,11.4,    23.4,      58,     8.8,,,
19,64733,1933795,Los Angeles,Los Angeles Unified,Grant (Ulysses S.) Senior High,516,26,5,    18.6,       6,     1.2,,,
19,64733,1933852,Los Angeles,Los Angeles Unified,Hamilton (Alexander) Senior Hi,513,93,18.1,    19.6,      31,     6.0,,,
19,64733,1934033,Los Angeles,Los Angeles Unified,Hollywood Senior High,377,51,13.5,    19.0,      18,     4.8,,,
19,64733,1934157,Los Angeles,Los Angeles Unified,Huntington Park Senior High,572,134,23.4,    17.1,      21,     3.7,,,
19,64733,1934371,Los Angeles,Los Angeles Unified,Jefferson (Thomas) Senior High,597,86,14.4,    15.9,      11,     1.8,,,
19,64733,1934454,Los Angeles,Los Angeles Unified,Jordan (David Starr) Senior Hi,314,38,12.1,    15.3,       2,     0.6,,,
19,64733,1935121,Los Angeles,Los Angeles Unified,Lincoln (Abraham) Senior High,350,37,10.6,    19.4,      16,     4.6,,,
19,64733,1935154,Los Angeles,Los Angeles Unified,Locke (Alain Leroy) Senior Hig,292,25,8.6,    15.2,       1,     0.3,,,
19,64733,1935352,Los Angeles,Los Angeles Unified,Los Angeles Senior High,634,52,8.2,    18.8,      17,     2.7,,,
19,64733,1935519,Los Angeles,Los Angeles Unified,Manual Arts Senior High,719,126,17.5,    15.7,       9,     1.3,,,
19,64733,1935568,Los Angeles,Los Angeles Unified,Marshall (John) Senior High,783,201,25.7,    19.3,      69,     8.8,,,
19,64733,1935865,Los Angeles,Los Angeles Unified,Monroe (James) High,614,85,13.8,    18.7,      23,     3.7,,,
19,64733,1936160,Los Angeles,Los Angeles Unified,Narbonne (Nathaniel) Senior Hi,412,54,13.1,    20.0,      22,     5.3,,,
19,64733,1936350,Los Angeles,Los Angeles Unified,North Hollywood Senior High,595,62,10.4,    19.5,      22,     3.7,,,
19,64733,1937085,Los Angeles,Los Angeles Unified,Ramona Opportunity High,12,0,0,    0,       0,     0.0,,,
19,64733,1937226,Los Angeles,Los Angeles Unified,Reseda Senior High,340,49,14.4,    21.2,      25,     7.4,,,
19,64733,1937424,Los Angeles,Los Angeles Unified,Roosevelt (Theodore) Senior High,597,154,25.8,    17.1,      22,     3.7,,,
19,64733,1937622,Los Angeles,Los Angeles Unified,San Fernando Senior High,586,135,23,    17.9,      32,     5.5,,,
19,64733,1937838,Los Angeles,Los Angeles Unified,San Pedro Senior High,488,41,8.4,    22.8,      30,     6.1,,,
19,64733,1938307,Los Angeles,Los Angeles Unified,South Gate Senior High,662,151,22.8,    17.4,      34,     5.1,,,
19,64733,1938554,Los Angeles,Los Angeles Unified,Sylmar Senior High,458,51,11.1,    17.2,       7,     1.5,,,
19,64733,1938612,Los Angeles,Los Angeles Unified,Taft (William Howard) Senior H,475,81,17.1,    21.8,      46,     9.7,,,
19,64733,1938885,Los Angeles,Los Angeles Unified,University Senior High,406,37,9.1,    21.0,      18,     4.4,,,
19,64733,1938968,Los Angeles,Los Angeles Unified,Van Nuys Senior High,686,21,3.1,    22.2,      13,     1.9,,,
19,64733,1939040,Los Angeles,Los Angeles Unified,Venice Senior High,392,97,24.7,    19.3,      36,     9.2,,,
19,64733,1939107,Los Angeles,Los Angeles Unified,Verdugo Hills Senior High,325,9,2.8,NA,NA,NA,,,
19,64733,1939305,Los Angeles,Los Angeles Unified,Washington (George) Preparatory High,568,210,37,    15.7,      25,     4.4,,,
19,64733,1939479,Los Angeles,Los Angeles Unified,Westchester Senior High,326,140,42.9,    18.0,      37,    11.3,,,
19,64733,1939859,Los Angeles,Los Angeles Unified,Wilson (Woodrow) Senior High,367,97,26.4,    17.8,      24,     6.5,,,
19,64733,1939941,Los Angeles,Los Angeles Unified,Kennedy (John F.) High,487,43,8.8,    18.9,      15,     3.1,,,
19,64733,1995448,Los Angeles,Los Angeles Unified,Bravo (Francisco) Medical Magnet High,319,129,40.4,    20.9,      71,    22.3,,,
19,64733,1995455,Los Angeles,Los Angeles Unified,Middle College High (Alternative),80,10,12.5,NA,NA,NA,,,
19,64733,1995489,Los Angeles,Los Angeles Unified,Los Angeles Unified Alternative Education,143,0,0,    0,       0,     0.0,,,
19,64733,1995794,Los Angeles,Los Angeles Unified,Youth Opportunities Unlimited,34,0,0,    0,       0,     0.0,,,
19,64733,1995836,Los Angeles,Los Angeles Unified,Palisades Charter High,526,127,24.1,    22.0,      74,    14.1,,,
19,64733,1996073,Los Angeles,Los Angeles Unified,Tri-C Community Day,1,0,0,    0,       0,     0.0,,,
19,64733,1996115,Los Angeles,Los Angeles Unified,City of Angels (Indep. Study),566,4,0.7,NA,NA,NA,,,
19,64733,1996651,Los Angeles,Los Angeles Unified,CDS Secondary,7,0,0,    0,       0,     0.0,,,
19,64733,6016885,Los Angeles,Los Angeles Unified,Elizabeth Learning Center,101,11,10.9,    19.7,       4,     4.0,,,
19,64733,6019475,Los Angeles,Los Angeles Unified,Thirty-Second St. USC Performing Arts,60,17,28.3,    17.6,       4,     6.7,,,
19,64733,6061451,Los Angeles,Los Angeles Unified,Foshay Learning Center (K-12),117,48,41,    17.6,      10,     8.5,,,
19,64733,6069157,Los Angeles,Los Angeles Unified,Carlson (Berenece) Home Hospital,18,0,0,    0,       0,     0.0,,,
19,64733,6120794,Los Angeles,Los Angeles Unified,CDS Elementary,2,0,0,    0,       0,     0.0,,,
19,64774,1935428,Los Angeles,Lynwood Unified,Vista High (Continuation),43,0,0,    0,       0,     0.0,,,
19,64774,1935436,Los Angeles,Lynwood Unified,Lynwood High,853,136,15.9,    17.1,      21,     2.5,,,
19,64774,1996354,Los Angeles,Lynwood Unified,Pathway High,100,0,0,    0,       0,     0.0,,,
19,64790,1935899,Los Angeles,Monrovia Unified,Canyon Oaks High,37,0,0,    0,       0,     0.0,,,
19,64790,1935923,Los Angeles,Monrovia Unified,Monrovia High,382,55,14.4,    19.8,      22,     5.8,,,
19,64790,1996404,Los Angeles,Monrovia Unified,Mountain Park,44,0,0,    0,       0,     0.0,,,
19,64808,1930155,Los Angeles,Montebello Unified,Schurr High,607,27,4.4,    19.4,      10,     1.6,,,
19,64808,1930825,Los Angeles,Montebello Unified,Bell Gardens High,535,62,11.6,    17.5,      10,     1.9,,,
19,64808,1935998,Los Angeles,Montebello Unified,Montebello High,673,41,6.1,    16.8,       4,     0.6,,,
19,64808,1938927,Los Angeles,Montebello Unified,Vail High (Cont.),44,0,0,    0,       0,     0.0,,,
19,64808,1996388,Los Angeles,Montebello Unified,Montebello Community Day,78,0,0,    0,       0,     0.0,,,
19,64840,1933647,Los Angeles,Norwalk-La Mirada Unified,Glenn (John H.) High,365,15,4.1,    17.1,       3,     0.8,,,
19,64840,1934728,Los Angeles,Norwalk-La Mirada Unified,La Mirada High,467,63,13.5,    20.6,      33,     7.1,,,
19,64840,1936467,Los Angeles,Norwalk-La Mirada Unified,Norwalk High,435,12,2.8,    16.6,       1,     0.2,,,
19,64840,1936475,Los Angeles,Norwalk-La Mirada Unified,El Camino High (Cont.),79,1,1.3,NA,NA,NA,,,
19,64865,1933308,Los Angeles,Palos Verdes Peninsula Unified,Rancho del Mar High (Cont.),30,0,0,    0,       0,     0.0,,,
19,64865,1995588,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes Peninsula High,786,266,33.8,    24.9,     212,    27.0,,,
19,64873,1936749,Los Angeles,Paramount Unified,Paramount High,842,71,8.4,    17.8,      13,     1.5,,,
19,64873,1936756,Los Angeles,Paramount Unified,Michelson Continuation,36,0,0,    0,       0,     0.0,,,
19,64873,1996107,Los Angeles,Paramount Unified,Paramount Unified Community Day,5,0,0,    0,       0,     0.0,,,
19,64873,1996370,Los Angeles,Paramount Unified,Paramount High School Academy,35,0,0,    0,       0,     0.0,,,
19,64881,1931062,Los Angeles,Pasadena Unified,Blair High,214,22,10.3,    20.0,       9,     4.2,,,
19,64881,1931674,Los Angeles,Pasadena Unified,Marshall Fundamental,221,24,10.9,    17.1,       5,     2.3,,,
19,64881,1936103,Los Angeles,Pasadena Unified,Muir High,299,19,6.4,    18.2,       7,     2.3,,,
19,64881,1936806,Los Angeles,Pasadena Unified,Rose City High (Cont.),43,0,0,    0,       0,     0.0,,,
19,64881,1936822,Los Angeles,Pasadena Unified,Pasadena High,511,62,12.1,    18.7,      19,     3.7,,,
19,64881,6021711,Los Angeles,Pasadena Unified,Roosevelt Elementary,1,0,0,    0,       0,     0.0,,,
19,64907,1933175,Los Angeles,Pomona Unified,Ganesha Senior High,264,17,6.4,    20.3,       6,     2.3,,,
19,64907,1933324,Los Angeles,Pomona Unified,Garey Senior High,373,8,2.1,NA,NA,NA,,,
19,64907,1936772,Los Angeles,Pomona Unified,Park West High (Cont.),16,0,0,    0,       0,     0.0,,,
19,64907,1937028,Los Angeles,Pomona Unified,Pomona Senior High,238,34,14.3,    17.2,       3,     1.3,,,
19,64907,1995547,Los Angeles,Pomona Unified,Pomona Alternative (Pas),71,1,1.4,NA,NA,NA,,,
19,64907,1995901,Los Angeles,Pomona Unified,Diamond Ranch High,345,23,6.7,    18.5,       8,     2.3,,,
19,64964,1937754,Los Angeles,San Marino Unified,San Marino High,268,19,7.1,    25.8,      17,     6.3,,,
19,64980,1933373,Los Angeles,Santa Monica-Malibu Unified,Olympic High (Cont.),75,0,0,    0,       0,     0.0,,,
19,64980,1938000,Los Angeles,Santa Monica-Malibu Unified,Santa Monica High,765,198,25.9,    21.9,     123,    16.1,,,
19,64980,1995737,Los Angeles,Santa Monica-Malibu Unified,Malibu High,164,35,21.3,    23.2,      25,    15.2,,,
19,65029,1938455,Los Angeles,South Pasadena Unified,South Pasadena Senior High,333,31,9.3,    23.7,      26,     7.8,,,
19,65052,1938679,Los Angeles,Temple City Unified,Temple City High,406,34,8.4,    22.7,      24,     5.9,,,
19,65052,1995745,Los Angeles,Temple City Unified,Temple City Comm. Learning Ctr (Cont.),22,0,0,    0,       0,     0.0,,,
19,65052,1995976,Los Angeles,Temple City Unified,Temple City Alternative,9,0,0,    0,       0,     0.0,,,
19,65060,1936277,Los Angeles,Torrance Unified,North High,441,29,6.6,    21.1,      16,     3.6,,,
19,65060,1938083,Los Angeles,Torrance Unified,Shery (Kurt T.) High (Cont.),111,0,0,    0,       0,     0.0,,,
19,65060,1938356,Los Angeles,Torrance Unified,South High,432,57,13.2,    23.7,      41,     9.5,,,
19,65060,1938752,Los Angeles,Torrance Unified,Torrance High,411,62,15.1,    21.2,      34,     8.3,,,
19,65060,1939602,Los Angeles,Torrance Unified,West High,449,25,5.6,    22.6,      16,     3.6,,,
19,65094,1938513,Los Angeles,West Covina Unified,Coronado Alternative,268,0,0,    0,       0,     0.0,,,
19,65094,1939537,Los Angeles,West Covina Unified,West Covina High,573,28,4.9,    19.4,      11,     1.9,,,
19,65128,1930338,Los Angeles,Whittier Union High,Frontier High (Cont.),84,0,0,    0,       0,     0.0,,,
19,65128,1931302,Los Angeles,Whittier Union High,California High,478,32,6.7,    19.4,      13,     2.7,,,
19,65128,1934868,Los Angeles,Whittier Union High,La Serna High,392,17,4.3,    21.1,       8,     2.0,,,
19,65128,1936889,Los Angeles,Whittier Union High,Pioneer High,258,8,3.1,NA,NA,NA,,,
19,65128,1937903,Los Angeles,Whittier Union High,Santa Fe High,442,75,17,    16.9,      12,     2.7,,,
19,65128,1939701,Los Angeles,Whittier Union High,Whittier High,293,2,0.7,NA,NA,NA,,,
19,65128,1995653,Los Angeles,Whittier Union High,Sierra Vista High (Alter.),132,0,0,    0,       0,     0.0,,,
19,65136,1931492,Los Angeles,William S. Hart Union High,Canyon High,626,46,7.3,    23.1,      34,     5.4,,,
19,65136,1931740,Los Angeles,William S. Hart Union High,Saugus High,544,37,6.8,    23.7,      28,     5.1,,,
19,65136,1932532,Los Angeles,William S. Hart Union High,Learning Post High (Alter.),64,0,0,    0,       0,     0.0,,,
19,65136,1933902,Los Angeles,William S. Hart Union High,Hart (William S.) Senior High,615,47,7.6,    24.8,      37,     6.0,,,
19,65136,1934421,Los Angeles,William S. Hart Union High,Bowman (Jereann) High (Cont.),150,0,0,    0,       0,     0.0,,,
19,65136,1995802,Los Angeles,William S. Hart Union High,Valencia High,668,51,7.6,    23.3,      38,     5.7,,,
19,65136,1996263,Los Angeles,William S. Hart Union High,Opportunities for Learning-Santa Clarita,179,0,0,    0,       0,     0.0,,,
19,65136,1996321,Los Angeles,William S. Hart Union High,Academy of the Canyons High,72,2,2.8,NA,NA,NA,,,
19,73437,1931567,Los Angeles,Compton Unified,Centennial High,256,19,7.4,    15.6,       1,     0.4,,,
19,73437,1931963,Los Angeles,Compton Unified,Compton High,402,37,9.2,    16.2,       3,     0.7,,,
19,73437,1932326,Los Angeles,Compton Unified,Dominguez High,348,62,17.8,    15.1,       2,     0.6,,,
19,73437,1995695,Los Angeles,Compton Unified,Chavez (Cesar) Cont. High,95,0,0,    0,       0,     0.0,,,
19,73437,1995703,Los Angeles,Compton Unified,Tubman (Harriet) Cont. High,15,0,0,    0,       0,     0.0,,,
19,73437,1996040,Los Angeles,Compton Unified,Compton Community Day High,2,0,0,    0,       0,     0.0,,,
19,73437,1996057,Los Angeles,Compton Unified,Marshall (Thurgood),71,1,1.4,NA,NA,NA,,,
19,73445,1933316,Los Angeles,Hacienda la Puente Unified,Puente Hills High (Alter.),30,0,0,    0,       0,     0.0,,,
19,73445,1934801,Los Angeles,Hacienda la Puente Unified,La Puente High,329,32,9.7,    16.9,       8,     2.4,,,
19,73445,1935246,Los Angeles,Hacienda la Puente Unified,Los Altos High,385,12,3.1,    19.0,       4,     1.0,,,
19,73445,1938935,Los Angeles,Hacienda la Puente Unified,Valley Alternative High (Cont.),97,0,0,    0,       0,     0.0,,,
19,73445,1939834,Los Angeles,Hacienda la Puente Unified,Wilson (Glen A.) High,457,16,3.5,    22.8,      12,     2.6,,,
19,73445,1939925,Los Angeles,Hacienda la Puente Unified,Workman (William) High,321,2,0.6,NA,NA,NA,,,
19,73445,1996271,Los Angeles,Hacienda la Puente Unified,Opportunities for Learning-Hacienda La Puente,104,0,0,    0,       0,     0.0,,,
19,73452,1930106,Los Angeles,Rowland Unified,Santana High (Cont.),69,1,1.4,NA,NA,NA,,,
19,73452,1936228,Los Angeles,Rowland Unified,Nogales High,529,82,15.5,    19.2,      27,     5.1,,,
19,73452,1937564,Los Angeles,Rowland Unified,Rowland (John A.) High,566,36,6.4,    22.6,      25,     4.4,,,
19,73452,1995943,Los Angeles,Rowland Unified,Rowland Unified Community Day,10,0,0,    0,       0,     0.0,,,
19,73460,1932862,Los Angeles,Walnut Valley Unified,Diamond Bar High,721,31,4.3,    23.3,      24,     3.3,,,
19,73460,1937747,Los Angeles,Walnut Valley Unified,Del Paso High (Cont.),60,0,0,    0,       0,     0.0,,,
19,73460,1939149,Los Angeles,Walnut Valley Unified,Walnut High,649,62,9.6,    24.3,      49,     7.6,,,
19,75291,1995810,Los Angeles,San Gabriel Unified,Gabrielino High,346,24,6.9,    23.9,      18,     5.2,,,
19,75291,1996016,Los Angeles,San Gabriel Unified,"Options for Youth - San Gabriel, Inc.",77,0,0,    0,       0,     0.0,,,
19,75291,1996081,Los Angeles,San Gabriel Unified,Community Education Center (Cont),34,0,0,    0,       0,     0.0,,,
19,75309,1995786,Los Angeles,Acton-Agua Dulce Unified,Vasquez High,112,4,3.6,NA,NA,NA,,,
19,75333,1935808,Los Angeles,Manhattan Beach Unified,Mira Costa High,535,164,30.7,    24.5,     128,    23.9,,,
