"County
Number","District
Number","School
Number",County Name,District Name,School Name,Enrollment,"Number
tested","Percent
tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000,,,,
01,61259,0132688,Alameda,Oakland Unified,Dewey Academy Senior High,52,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0130518,Alameda,Oakland Unified,East Bay Conservation Corps Charter,28,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0102962,Alameda,Oakland Unified,East Oakland School of the Arts,95,      26,    27.4,   373.8,NA,   365.8,NA,   739.6,NA,NA,       0,     0.0,,,,
01,61259,0133132,Alameda,Oakland Unified,Fremont Federation,140,      65,    46.4,   349.7,NA,   412.5,NA,   762.2,NA,NA,       5,     3.6,,,,
01,61259,0130575,Alameda,Oakland Unified,LIFE Academy,62,      31,    50.0,   399.0,NA,   415.5,NA,   814.5,NA,NA,       3,     4.8,,,,
01,61259,6114011,Alameda,Oakland Unified,Laney Middle (Opportunity),47,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0107417,Alameda,Oakland Unified,Leadership Preparatory High,73,      92,   126.0,   343.4,NA,   341.5,NA,   684.9,NA,NA,       1,     1.4,,,,
01,61259,0130666,Alameda,Oakland Unified,Lionel Wilson College Preparatory Academy,19,      12,    63.2,   382.5,NA,   383.3,NA,   765.8,NA,NA,       2,    10.5,,,,
01,61259,0134791,Alameda,Oakland Unified,McClymonds Senior High,135,      61,    45.2,   366.9,NA,   385.4,NA,   752.3,NA,NA,       1,     0.7,,,,
01,61259,0100834,Alameda,Oakland Unified,Media College Preparatory,57,      10,    17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0130526,Alameda,Oakland Unified,Merritt Middle College High (Alternative),20,      12,    60.0,   429.2,NA,   405.8,NA,   835.0,NA,NA,       2,    10.0,,,,
01,61259,0100701,Alameda,Oakland Unified,MetWest High,0,       1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0135905,Alameda,Oakland Unified,Oakland Senior High,377,     226,    59.9,   386.0,NA,   432.0,NA,   818.0,NA,NA,      35,     9.3,,,,
01,61259,0136051,Alameda,Oakland Unified,Oakland Technical Senior High,323,     191,    59.1,   447.2,NA,   467.4,NA,   914.7,NA,NA,      63,    19.5,,,,
01,61259,0100842,Alameda,Oakland Unified,Paul Robeson College Preparatory School of Visual,54,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0130146,Alameda,Oakland Unified,Rudsdale Continuation,27,      13,    48.1,   370.8,NA,   355.4,NA,   726.2,NA,NA,       0,     0.0,,,,
01,61259,0130674,Alameda,Oakland Unified,School of Social Justice and Community Develo,0,       1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61259,0137943,Alameda,Oakland Unified,Skyline High,502,     283,    56.4,   458.2,NA,   484.1,NA,   942.3,NA,NA,     110,    21.9,,,,
01,61259,0130179,Alameda,Oakland Unified,Street Academy (Alternative),31,      17,    54.8,   381.2,NA,   394.1,NA,   775.3,NA,NA,       1,     3.2,,,,
01,61259,0130591,Alameda,Oakland Unified,University Preparatory Charter Academy,13,      18,   138.5,   457.8,NA,   507.8,NA,   965.6,NA,NA,       9,    69.2,,,,
01,61275,0130286,Alameda,Piedmont City Unified,Millennium High (Continuation),30,      21,    70.0,   494.3,NA,   486.2,NA,   980.5,NA,NA,      10,    33.3,,,,
01,61275,0136515,Alameda,Piedmont City Unified,Piedmont High,214,     213,    99.5,   614.8,NA,   636.9,NA,  1251.7,NA,NA,     203,    94.9,,,,
01,75101,0130583,Alameda,Pleasanton Unified,Amador Valley High,489,     295,    60.3,   543.9,NA,   577.3,NA,  1121.2,NA,NA,     222,    45.4,,,,
01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,505,     375,    74.3,   568.9,NA,   597.0,NA,  1165.9,NA,NA,     314,    62.2,,,,
01,75101,0130252,Alameda,Pleasanton Unified,Village High,99,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61291,0134528,Alameda,San Leandro Unified,Lincoln High (Continuation),46,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61291,0137588,Alameda,San Leandro Unified,San Leandro High,553,     244,    44.1,   459.7,NA,   492.1,NA,   951.8,NA,NA,      94,    17.0,,,,
01,61309,0130849,Alameda,San Lorenzo Unified,Arroyo High,410,     196,    47.8,   455.0,NA,   508.8,NA,   963.8,NA,NA,      87,    21.2,,,,
01,61309,0137745,Alameda,San Lorenzo Unified,Royal Sunset (Continuation),105,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61309,0137810,Alameda,San Lorenzo Unified,San Lorenzo High,298,     112,    37.6,   447.0,NA,   467.1,NA,   914.0,NA,NA,      37,    12.4,,,,
01,75119,0130641,Alameda,Sunol Glen Unified,Bay Area School for Independent Study B.A.S.I.S.,28,       3,    10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
02,61333,0230052,Alpine,Alpine County Unified,Woodfords High,3,       1,    33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
